Timecode List:,00:00:08.675,00:00:12.054,00:00:20.479,00:00:24.233,00:00:27.027,00:00:33.909,00:00:39.915,00:00:44.336,00:00:47.673,00:00:49.007,00:00:51.843,00:01:11.780,00:01:16.201
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,208,00:00:08.675,8.675,208,00:00:08.675,8.675
2,208,00:00:08.675,8.675,289,00:00:12.054,12.054,81,00:00:03.378,3.378
3,289,00:00:12.054,12.054,491,00:00:20.479,20.479,202,00:00:08.425,8.425
4,491,00:00:20.479,20.479,581,00:00:24.233,24.233,90,00:00:03.754,3.754
5,581,00:00:24.233,24.233,648,00:00:27.027,27.027,67,00:00:02.794,2.794
6,648,00:00:27.027,27.027,813,00:00:33.909,33.909,165,00:00:06.882,6.882
7,813,00:00:33.909,33.909,957,00:00:39.915,39.915,144,00:00:06.006,6.006
8,957,00:00:39.915,39.915,1063,00:00:44.336,44.336,106,00:00:04.421,4.421
9,1063,00:00:44.336,44.336,1143,00:00:47.673,47.673,80,00:00:03.337,3.337
10,1143,00:00:47.673,47.673,1175,00:00:49.007,49.007,32,00:00:01.335,1.335
11,1175,00:00:49.007,49.007,1243,00:00:51.843,51.843,68,00:00:02.836,2.836
12,1243,00:00:51.843,51.843,1721,00:01:11.780,71.780,478,00:00:19.937,19.937
13,1721,00:01:11.780,71.780,1827,00:01:16.201,76.201,106,00:00:04.421,4.421
14,1827,00:01:16.201,76.201,1864,00:01:17.744,77.744,37,00:00:01.543,1.543
