Timecode List:,00:00:04.867,00:00:12.100,00:00:14.133,00:00:22.200,00:00:25.833,00:00:27.500,00:00:31.167,00:00:42.033,00:00:43.133,00:00:46.733,00:00:49.400,00:00:55.267,00:00:57.000,00:00:58.967,00:01:04.333,00:01:07.600
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,146,00:00:04.867,4.867,146,00:00:04.867,4.867
2,146,00:00:04.867,4.867,363,00:00:12.100,12.100,217,00:00:07.233,7.233
3,363,00:00:12.100,12.100,424,00:00:14.133,14.133,61,00:00:02.033,2.033
4,424,00:00:14.133,14.133,666,00:00:22.200,22.200,242,00:00:08.067,8.067
5,666,00:00:22.200,22.200,775,00:00:25.833,25.833,109,00:00:03.633,3.633
6,775,00:00:25.833,25.833,825,00:00:27.500,27.500,50,00:00:01.667,1.667
7,825,00:00:27.500,27.500,935,00:00:31.167,31.167,110,00:00:03.667,3.667
8,935,00:00:31.167,31.167,1261,00:00:42.033,42.033,326,00:00:10.867,10.867
9,1261,00:00:42.033,42.033,1294,00:00:43.133,43.133,33,00:00:01.100,1.100
10,1294,00:00:43.133,43.133,1402,00:00:46.733,46.733,108,00:00:03.600,3.600
11,1402,00:00:46.733,46.733,1482,00:00:49.400,49.400,80,00:00:02.667,2.667
12,1482,00:00:49.400,49.400,1658,00:00:55.267,55.267,176,00:00:05.867,5.867
13,1658,00:00:55.267,55.267,1710,00:00:57.000,57.000,52,00:00:01.733,1.733
14,1710,00:00:57.000,57.000,1769,00:00:58.967,58.967,59,00:00:01.967,1.967
15,1769,00:00:58.967,58.967,1930,00:01:04.333,64.333,161,00:00:05.367,5.367
16,1930,00:01:04.333,64.333,2028,00:01:07.600,67.600,98,00:00:03.267,3.267
17,2028,00:01:07.600,67.600,2109,00:01:10.300,70.300,81,00:00:02.700,2.700
