Timecode List:,00:00:12.600,00:00:25.240,00:00:28.240,00:00:32.120,00:00:35.480,00:00:38.920,00:00:49.480,00:00:51.760,00:00:57.760,00:01:04.400,00:01:09.600,00:01:25.200,00:01:27.680,00:01:34.720,00:01:43.800,00:01:49.480,00:01:51.800,00:01:53.560,00:01:55.440,00:02:02.760,00:02:07.600,00:02:09.960,00:02:15.600,00:02:23.320,00:02:29.560,00:02:36.640,00:02:40.720,00:02:47.480,00:02:54.680,00:03:03.520,00:03:06.600,00:03:13.560,00:03:17.280,00:03:30.280,00:03:50.480
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,315,00:00:12.600,12.600,315,00:00:12.600,12.600
2,315,00:00:12.600,12.600,631,00:00:25.240,25.240,316,00:00:12.640,12.640
3,631,00:00:25.240,25.240,706,00:00:28.240,28.240,75,00:00:03.000,3.000
4,706,00:00:28.240,28.240,803,00:00:32.120,32.120,97,00:00:03.880,3.880
5,803,00:00:32.120,32.120,887,00:00:35.480,35.480,84,00:00:03.360,3.360
6,887,00:00:35.480,35.480,973,00:00:38.920,38.920,86,00:00:03.440,3.440
7,973,00:00:38.920,38.920,1237,00:00:49.480,49.480,264,00:00:10.560,10.560
8,1237,00:00:49.480,49.480,1294,00:00:51.760,51.760,57,00:00:02.280,2.280
9,1294,00:00:51.760,51.760,1444,00:00:57.760,57.760,150,00:00:06.000,6.000
10,1444,00:00:57.760,57.760,1610,00:01:04.400,64.400,166,00:00:06.640,6.640
11,1610,00:01:04.400,64.400,1740,00:01:09.600,69.600,130,00:00:05.200,5.200
12,1740,00:01:09.600,69.600,2130,00:01:25.200,85.200,390,00:00:15.600,15.600
13,2130,00:01:25.200,85.200,2192,00:01:27.680,87.680,62,00:00:02.480,2.480
14,2192,00:01:27.680,87.680,2368,00:01:34.720,94.720,176,00:00:07.040,7.040
15,2368,00:01:34.720,94.720,2595,00:01:43.800,103.800,227,00:00:09.080,9.080
16,2595,00:01:43.800,103.800,2737,00:01:49.480,109.480,142,00:00:05.680,5.680
17,2737,00:01:49.480,109.480,2795,00:01:51.800,111.800,58,00:00:02.320,2.320
18,2795,00:01:51.800,111.800,2839,00:01:53.560,113.560,44,00:00:01.760,1.760
19,2839,00:01:53.560,113.560,2886,00:01:55.440,115.440,47,00:00:01.880,1.880
20,2886,00:01:55.440,115.440,3069,00:02:02.760,122.760,183,00:00:07.320,7.320
21,3069,00:02:02.760,122.760,3190,00:02:07.600,127.600,121,00:00:04.840,4.840
22,3190,00:02:07.600,127.600,3249,00:02:09.960,129.960,59,00:00:02.360,2.360
23,3249,00:02:09.960,129.960,3390,00:02:15.600,135.600,141,00:00:05.640,5.640
24,3390,00:02:15.600,135.600,3583,00:02:23.320,143.320,193,00:00:07.720,7.720
25,3583,00:02:23.320,143.320,3739,00:02:29.560,149.560,156,00:00:06.240,6.240
26,3739,00:02:29.560,149.560,3916,00:02:36.640,156.640,177,00:00:07.080,7.080
27,3916,00:02:36.640,156.640,4018,00:02:40.720,160.720,102,00:00:04.080,4.080
28,4018,00:02:40.720,160.720,4187,00:02:47.480,167.480,169,00:00:06.760,6.760
29,4187,00:02:47.480,167.480,4367,00:02:54.680,174.680,180,00:00:07.200,7.200
30,4367,00:02:54.680,174.680,4588,00:03:03.520,183.520,221,00:00:08.840,8.840
31,4588,00:03:03.520,183.520,4665,00:03:06.600,186.600,77,00:00:03.080,3.080
32,4665,00:03:06.600,186.600,4839,00:03:13.560,193.560,174,00:00:06.960,6.960
33,4839,00:03:13.560,193.560,4932,00:03:17.280,197.280,93,00:00:03.720,3.720
34,4932,00:03:17.280,197.280,5257,00:03:30.280,210.280,325,00:00:13.000,13.000
35,5257,00:03:30.280,210.280,5762,00:03:50.480,230.480,505,00:00:20.200,20.200
36,5762,00:03:50.480,230.480,5849,00:03:53.960,233.960,87,00:00:03.480,3.480
