Timecode List:,00:00:04.042,00:00:31.500,00:00:32.250,00:00:35.500,00:00:51.000,00:01:10.000,00:01:10.875,00:01:13.208,00:01:20.250,00:01:20.875,00:01:22.167,00:01:32.250,00:01:33.542,00:01:34.500,00:01:36.750,00:01:37.542,00:01:40.917,00:01:52.417,00:01:54.708,00:01:55.542,00:01:57.375,00:02:03.875,00:02:05.208,00:02:13.375,00:02:26.875,00:02:28.125,00:02:29.250,00:02:30.000,00:02:33.417,00:02:35.458,00:02:36.042,00:02:40.292,00:02:48.250,00:02:50.000,00:02:50.708,00:02:51.542,00:02:52.333,00:02:54.500,00:02:56.167,00:02:58.292,00:03:01.542,00:03:23.375,00:03:26.583,00:03:38.292,00:03:43.042,00:03:55.458,00:04:00.250,00:04:03.292,00:04:12.917,00:04:22.958
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,97,00:00:04.042,4.042,97,00:00:04.042,4.042
2,97,00:00:04.042,4.042,756,00:00:31.500,31.500,659,00:00:27.458,27.458
3,756,00:00:31.500,31.500,774,00:00:32.250,32.250,18,00:00:00.750,0.750
4,774,00:00:32.250,32.250,852,00:00:35.500,35.500,78,00:00:03.250,3.250
5,852,00:00:35.500,35.500,1224,00:00:51.000,51.000,372,00:00:15.500,15.500
6,1224,00:00:51.000,51.000,1680,00:01:10.000,70.000,456,00:00:19.000,19.000
7,1680,00:01:10.000,70.000,1701,00:01:10.875,70.875,21,00:00:00.875,0.875
8,1701,00:01:10.875,70.875,1757,00:01:13.208,73.208,56,00:00:02.333,2.333
9,1757,00:01:13.208,73.208,1926,00:01:20.250,80.250,169,00:00:07.042,7.042
10,1926,00:01:20.250,80.250,1941,00:01:20.875,80.875,15,00:00:00.625,0.625
11,1941,00:01:20.875,80.875,1972,00:01:22.167,82.167,31,00:00:01.292,1.292
12,1972,00:01:22.167,82.167,2214,00:01:32.250,92.250,242,00:00:10.083,10.083
13,2214,00:01:32.250,92.250,2245,00:01:33.542,93.542,31,00:00:01.292,1.292
14,2245,00:01:33.542,93.542,2268,00:01:34.500,94.500,23,00:00:00.958,0.958
15,2268,00:01:34.500,94.500,2322,00:01:36.750,96.750,54,00:00:02.250,2.250
16,2322,00:01:36.750,96.750,2341,00:01:37.542,97.542,19,00:00:00.792,0.792
17,2341,00:01:37.542,97.542,2422,00:01:40.917,100.917,81,00:00:03.375,3.375
18,2422,00:01:40.917,100.917,2698,00:01:52.417,112.417,276,00:00:11.500,11.500
19,2698,00:01:52.417,112.417,2753,00:01:54.708,114.708,55,00:00:02.292,2.292
20,2753,00:01:54.708,114.708,2773,00:01:55.542,115.542,20,00:00:00.833,0.833
21,2773,00:01:55.542,115.542,2817,00:01:57.375,117.375,44,00:00:01.833,1.833
22,2817,00:01:57.375,117.375,2973,00:02:03.875,123.875,156,00:00:06.500,6.500
23,2973,00:02:03.875,123.875,3005,00:02:05.208,125.208,32,00:00:01.333,1.333
24,3005,00:02:05.208,125.208,3201,00:02:13.375,133.375,196,00:00:08.167,8.167
25,3201,00:02:13.375,133.375,3525,00:02:26.875,146.875,324,00:00:13.500,13.500
26,3525,00:02:26.875,146.875,3555,00:02:28.125,148.125,30,00:00:01.250,1.250
27,3555,00:02:28.125,148.125,3582,00:02:29.250,149.250,27,00:00:01.125,1.125
28,3582,00:02:29.250,149.250,3600,00:02:30.000,150.000,18,00:00:00.750,0.750
29,3600,00:02:30.000,150.000,3682,00:02:33.417,153.417,82,00:00:03.417,3.417
30,3682,00:02:33.417,153.417,3731,00:02:35.458,155.458,49,00:00:02.042,2.042
31,3731,00:02:35.458,155.458,3745,00:02:36.042,156.042,14,00:00:00.583,0.583
32,3745,00:02:36.042,156.042,3847,00:02:40.292,160.292,102,00:00:04.250,4.250
33,3847,00:02:40.292,160.292,4038,00:02:48.250,168.250,191,00:00:07.958,7.958
34,4038,00:02:48.250,168.250,4080,00:02:50.000,170.000,42,00:00:01.750,1.750
35,4080,00:02:50.000,170.000,4097,00:02:50.708,170.708,17,00:00:00.708,0.708
36,4097,00:02:50.708,170.708,4117,00:02:51.542,171.542,20,00:00:00.833,0.833
37,4117,00:02:51.542,171.542,4136,00:02:52.333,172.333,19,00:00:00.792,0.792
38,4136,00:02:52.333,172.333,4188,00:02:54.500,174.500,52,00:00:02.167,2.167
39,4188,00:02:54.500,174.500,4228,00:02:56.167,176.167,40,00:00:01.667,1.667
40,4228,00:02:56.167,176.167,4279,00:02:58.292,178.292,51,00:00:02.125,2.125
41,4279,00:02:58.292,178.292,4357,00:03:01.542,181.542,78,00:00:03.250,3.250
42,4357,00:03:01.542,181.542,4881,00:03:23.375,203.375,524,00:00:21.833,21.833
43,4881,00:03:23.375,203.375,4958,00:03:26.583,206.583,77,00:00:03.208,3.208
44,4958,00:03:26.583,206.583,5239,00:03:38.292,218.292,281,00:00:11.708,11.708
45,5239,00:03:38.292,218.292,5353,00:03:43.042,223.042,114,00:00:04.750,4.750
46,5353,00:03:43.042,223.042,5651,00:03:55.458,235.458,298,00:00:12.417,12.417
47,5651,00:03:55.458,235.458,5766,00:04:00.250,240.250,115,00:00:04.792,4.792
48,5766,00:04:00.250,240.250,5839,00:04:03.292,243.292,73,00:00:03.042,3.042
49,5839,00:04:03.292,243.292,6070,00:04:12.917,252.917,231,00:00:09.625,9.625
50,6070,00:04:12.917,252.917,6311,00:04:22.958,262.958,241,00:00:10.042,10.042
51,6311,00:04:22.958,262.958,6462,00:04:29.250,269.250,151,00:00:06.292,6.292
