Timecode List:,00:00:04.042,00:00:35.500,00:01:20.250,00:01:22.500,00:01:37.625,00:01:40.917,00:02:36.208,00:02:40.292,00:02:48.250,00:03:23.375,00:03:26.583,00:04:00.375,00:04:03.292,00:04:22.958
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,97,00:00:04.042,4.042,97,00:00:04.042,4.042
2,97,00:00:04.042,4.042,852,00:00:35.500,35.500,755,00:00:31.458,31.458
3,852,00:00:35.500,35.500,1926,00:01:20.250,80.250,1074,00:00:44.750,44.750
4,1926,00:01:20.250,80.250,1980,00:01:22.500,82.500,54,00:00:02.250,2.250
5,1980,00:01:22.500,82.500,2343,00:01:37.625,97.625,363,00:00:15.125,15.125
6,2343,00:01:37.625,97.625,2422,00:01:40.917,100.917,79,00:00:03.292,3.292
7,2422,00:01:40.917,100.917,3749,00:02:36.208,156.208,1327,00:00:55.292,55.292
8,3749,00:02:36.208,156.208,3847,00:02:40.292,160.292,98,00:00:04.083,4.083
9,3847,00:02:40.292,160.292,4038,00:02:48.250,168.250,191,00:00:07.958,7.958
10,4038,00:02:48.250,168.250,4881,00:03:23.375,203.375,843,00:00:35.125,35.125
11,4881,00:03:23.375,203.375,4958,00:03:26.583,206.583,77,00:00:03.208,3.208
12,4958,00:03:26.583,206.583,5769,00:04:00.375,240.375,811,00:00:33.792,33.792
13,5769,00:04:00.375,240.375,5839,00:04:03.292,243.292,70,00:00:02.917,2.917
14,5839,00:04:03.292,243.292,6311,00:04:22.958,262.958,472,00:00:19.667,19.667
15,6311,00:04:22.958,262.958,6462,00:04:29.250,269.250,151,00:00:06.292,6.292
