Timecode List:,00:00:05.047,00:00:06.590,00:00:12.387,00:00:15.182,00:00:17.684,00:00:19.728,00:00:22.731,00:00:49.091,00:00:56.265,00:01:04.106,00:01:12.781,00:01:16.618,00:01:25.502,00:01:30.007,00:01:34.803,00:01:44.604,00:01:47.858,00:01:50.027,00:01:51.778,00:01:53.613,00:01:55.198,00:02:10.213,00:02:12.716,00:02:17.054,00:02:21.558,00:02:23.393,00:02:24.978,00:02:28.565,00:02:39.868,00:02:42.746,00:02:51.713,00:02:54.549,00:02:58.220,00:03:04.726,00:03:10.065,00:03:16.405,00:03:18.031,00:03:22.744,00:03:24.246,00:03:25.372,00:03:34.756,00:03:37.884,00:03:42.472,00:03:44.099
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,121,00:00:05.047,5.047,121,00:00:05.047,5.047
2,121,00:00:05.047,5.047,158,00:00:06.590,6.590,37,00:00:01.543,1.543
3,158,00:00:06.590,6.590,297,00:00:12.387,12.387,139,00:00:05.797,5.797
4,297,00:00:12.387,12.387,364,00:00:15.182,15.182,67,00:00:02.794,2.794
5,364,00:00:15.182,15.182,424,00:00:17.684,17.684,60,00:00:02.502,2.502
6,424,00:00:17.684,17.684,473,00:00:19.728,19.728,49,00:00:02.044,2.044
7,473,00:00:19.728,19.728,545,00:00:22.731,22.731,72,00:00:03.003,3.003
8,545,00:00:22.731,22.731,1177,00:00:49.091,49.091,632,00:00:26.360,26.360
9,1177,00:00:49.091,49.091,1349,00:00:56.265,56.265,172,00:00:07.174,7.174
10,1349,00:00:56.265,56.265,1537,00:01:04.106,64.106,188,00:00:07.841,7.841
11,1537,00:01:04.106,64.106,1745,00:01:12.781,72.781,208,00:00:08.675,8.675
12,1745,00:01:12.781,72.781,1837,00:01:16.618,76.618,92,00:00:03.837,3.837
13,1837,00:01:16.618,76.618,2050,00:01:25.502,85.502,213,00:00:08.884,8.884
14,2050,00:01:25.502,85.502,2158,00:01:30.007,90.007,108,00:00:04.504,4.504
15,2158,00:01:30.007,90.007,2273,00:01:34.803,94.803,115,00:00:04.796,4.796
16,2273,00:01:34.803,94.803,2508,00:01:44.604,104.604,235,00:00:09.801,9.801
17,2508,00:01:44.604,104.604,2586,00:01:47.858,107.858,78,00:00:03.253,3.253
18,2586,00:01:47.858,107.858,2638,00:01:50.027,110.027,52,00:00:02.169,2.169
19,2638,00:01:50.027,110.027,2680,00:01:51.778,111.778,42,00:00:01.752,1.752
20,2680,00:01:51.778,111.778,2724,00:01:53.613,113.613,44,00:00:01.835,1.835
21,2724,00:01:53.613,113.613,2762,00:01:55.198,115.198,38,00:00:01.585,1.585
22,2762,00:01:55.198,115.198,3122,00:02:10.213,130.213,360,00:00:15.015,15.015
23,3122,00:02:10.213,130.213,3182,00:02:12.716,132.716,60,00:00:02.502,2.502
24,3182,00:02:12.716,132.716,3286,00:02:17.054,137.054,104,00:00:04.338,4.338
25,3286,00:02:17.054,137.054,3394,00:02:21.558,141.558,108,00:00:04.504,4.504
26,3394,00:02:21.558,141.558,3438,00:02:23.393,143.393,44,00:00:01.835,1.835
27,3438,00:02:23.393,143.393,3476,00:02:24.978,144.978,38,00:00:01.585,1.585
28,3476,00:02:24.978,144.978,3562,00:02:28.565,148.565,86,00:00:03.587,3.587
29,3562,00:02:28.565,148.565,3833,00:02:39.868,159.868,271,00:00:11.303,11.303
30,3833,00:02:39.868,159.868,3902,00:02:42.746,162.746,69,00:00:02.878,2.878
31,3902,00:02:42.746,162.746,4117,00:02:51.713,171.713,215,00:00:08.967,8.967
32,4117,00:02:51.713,171.713,4185,00:02:54.549,174.549,68,00:00:02.836,2.836
33,4185,00:02:54.549,174.549,4273,00:02:58.220,178.220,88,00:00:03.670,3.670
34,4273,00:02:58.220,178.220,4429,00:03:04.726,184.726,156,00:00:06.506,6.506
35,4429,00:03:04.726,184.726,4557,00:03:10.065,190.065,128,00:00:05.339,5.339
36,4557,00:03:10.065,190.065,4709,00:03:16.405,196.405,152,00:00:06.340,6.340
37,4709,00:03:16.405,196.405,4748,00:03:18.031,198.031,39,00:00:01.627,1.627
38,4748,00:03:18.031,198.031,4861,00:03:22.744,202.744,113,00:00:04.713,4.713
39,4861,00:03:22.744,202.744,4897,00:03:24.246,204.246,36,00:00:01.501,1.501
40,4897,00:03:24.246,204.246,4924,00:03:25.372,205.372,27,00:00:01.126,1.126
41,4924,00:03:25.372,205.372,5149,00:03:34.756,214.756,225,00:00:09.384,9.384
42,5149,00:03:34.756,214.756,5224,00:03:37.884,217.884,75,00:00:03.128,3.128
43,5224,00:03:37.884,217.884,5334,00:03:42.472,222.472,110,00:00:04.588,4.588
44,5334,00:03:42.472,222.472,5373,00:03:44.099,224.099,39,00:00:01.627,1.627
45,5373,00:03:44.099,224.099,5732,00:03:59.072,239.072,359,00:00:14.973,14.973
