Timecode List:,00:00:02.878,00:00:05.756,00:00:07.424,00:00:09.259,00:00:11.220,00:00:16.683,00:00:18.602,00:00:22.356,00:00:29.029,00:00:31.573,00:00:36.078,00:00:47.089,00:00:49.424,00:00:51.843,00:00:53.387,00:00:58.350,00:01:00.269,00:01:24.084,00:01:26.461,00:01:27.546,00:01:29.631,00:01:31.133,00:01:32.801,00:01:34.052,00:01:37.681,00:01:41.059,00:01:43.270,00:01:49.651,00:01:53.864,00:01:55.657,00:01:59.286,00:02:02.122,00:02:07.836,00:02:10.672,00:02:13.091,00:02:14.343,00:02:14.968,00:02:18.388,00:02:21.391,00:02:22.559,00:02:24.186,00:02:28.023,00:02:28.607,00:02:30.025,00:02:31.276,00:02:32.944,00:02:33.862,00:02:34.446,00:02:35.655,00:02:36.573,00:02:38.450,00:02:40.869,00:02:41.578,00:02:42.704,00:02:44.122,00:02:44.706,00:02:45.457,00:02:46.958,00:02:48.502,00:02:49.252,00:02:51.129,00:02:51.713,00:02:52.381,00:02:54.091,00:02:55.300,00:02:58.345,00:03:02.432,00:03:04.309,00:03:06.228,00:03:07.688,00:03:08.355,00:03:08.980,00:03:10.273,00:03:10.941,00:03:12.317,00:03:13.443,00:03:14.403,00:03:15.987,00:03:16.571,00:03:17.781,00:03:18.698,00:03:19.282,00:03:23.203,00:03:23.787,00:03:26.039,00:03:27.916,00:03:33.046,00:03:36.925,00:03:38.301,00:03:39.928,00:03:41.596,00:03:42.472,00:03:43.849,00:03:44.766,00:03:45.475,00:03:46.726,00:03:49.354,00:03:51.189,00:03:53.900,00:03:56.695,00:03:58.447,00:04:02.909,00:04:04.744,00:04:05.745
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,69,00:00:02.878,2.878,69,00:00:02.878,2.878
2,69,00:00:02.878,2.878,138,00:00:05.756,5.756,69,00:00:02.878,2.878
3,138,00:00:05.756,5.756,178,00:00:07.424,7.424,40,00:00:01.668,1.668
4,178,00:00:07.424,7.424,222,00:00:09.259,9.259,44,00:00:01.835,1.835
5,222,00:00:09.259,9.259,269,00:00:11.220,11.220,47,00:00:01.960,1.960
6,269,00:00:11.220,11.220,400,00:00:16.683,16.683,131,00:00:05.464,5.464
7,400,00:00:16.683,16.683,446,00:00:18.602,18.602,46,00:00:01.919,1.919
8,446,00:00:18.602,18.602,536,00:00:22.356,22.356,90,00:00:03.754,3.754
9,536,00:00:22.356,22.356,696,00:00:29.029,29.029,160,00:00:06.673,6.673
10,696,00:00:29.029,29.029,757,00:00:31.573,31.573,61,00:00:02.544,2.544
11,757,00:00:31.573,31.573,865,00:00:36.078,36.078,108,00:00:04.504,4.504
12,865,00:00:36.078,36.078,1129,00:00:47.089,47.089,264,00:00:11.011,11.011
13,1129,00:00:47.089,47.089,1185,00:00:49.424,49.424,56,00:00:02.336,2.336
14,1185,00:00:49.424,49.424,1243,00:00:51.843,51.843,58,00:00:02.419,2.419
15,1243,00:00:51.843,51.843,1280,00:00:53.387,53.387,37,00:00:01.543,1.543
16,1280,00:00:53.387,53.387,1399,00:00:58.350,58.350,119,00:00:04.963,4.963
17,1399,00:00:58.350,58.350,1445,00:01:00.269,60.269,46,00:00:01.919,1.919
18,1445,00:01:00.269,60.269,2016,00:01:24.084,84.084,571,00:00:23.815,23.815
19,2016,00:01:24.084,84.084,2073,00:01:26.461,86.461,57,00:00:02.377,2.377
20,2073,00:01:26.461,86.461,2099,00:01:27.546,87.546,26,00:00:01.084,1.084
