Timecode List:,00:00:02.878,00:00:22.356,00:00:29.029,00:00:31.573,00:00:36.078,00:00:49.424,00:00:53.387,00:00:58.350,00:01:00.269,00:01:24.084,00:01:26.461,00:01:27.546,00:01:29.631,00:01:31.133,00:01:32.801,00:01:34.052,00:01:37.681,00:01:41.059,00:01:43.270,00:01:53.864,00:01:55.657,00:01:59.286,00:02:02.122,00:02:07.836,00:02:10.672,00:02:14.968,00:02:18.388,00:02:21.391,00:02:22.559,00:02:24.269,00:02:28.023,00:02:30.025,00:02:32.944,00:02:33.862,00:02:34.446,00:02:40.869,00:02:41.578,00:02:44.122,00:02:45.499,00:02:46.958,00:02:48.502,00:02:49.252,00:02:51.129,00:02:52.214,00:02:58.345,00:03:08.355,00:03:09.272,00:03:10.273,00:03:10.982,00:03:12.317,00:03:13.443,00:03:14.403,00:03:15.987,00:03:16.571,00:03:17.781,00:03:18.698,00:03:19.491,00:03:24.162,00:03:26.039,00:03:36.925,00:03:38.301,00:03:39.928,00:03:41.596,00:03:42.472,00:03:43.849,00:03:44.766,00:03:46.726,00:03:49.354,00:03:56.695,00:04:05.745
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,69,00:00:02.878,2.878,69,00:00:02.878,2.878
2,69,00:00:02.878,2.878,536,00:00:22.356,22.356,467,00:00:19.478,19.478
3,536,00:00:22.356,22.356,696,00:00:29.029,29.029,160,00:00:06.673,6.673
4,696,00:00:29.029,29.029,757,00:00:31.573,31.573,61,00:00:02.544,2.544
5,757,00:00:31.573,31.573,865,00:00:36.078,36.078,108,00:00:04.504,4.504
6,865,00:00:36.078,36.078,1185,00:00:49.424,49.424,320,00:00:13.347,13.347
7,1185,00:00:49.424,49.424,1280,00:00:53.387,53.387,95,00:00:03.962,3.962
8,1280,00:00:53.387,53.387,1399,00:00:58.350,58.350,119,00:00:04.963,4.963
9,1399,00:00:58.350,58.350,1445,00:01:00.269,60.269,46,00:00:01.919,1.919
10,1445,00:01:00.269,60.269,2016,00:01:24.084,84.084,571,00:00:23.815,23.815
11,2016,00:01:24.084,84.084,2073,00:01:26.461,86.461,57,00:00:02.377,2.377
12,2073,00:01:26.461,86.461,2099,00:01:27.546,87.546,26,00:00:01.084,1.084
13,2099,00:01:27.546,87.546,2149,00:01:29.631,89.631,50,00:00:02.085,2.085
14,2149,00:01:29.631,89.631,2185,00:01:31.133,91.133,36,00:00:01.501,1.501
15,2185,00:01:31.133,91.133,2225,00:01:32.801,92.801,40,00:00:01.668,1.668
16,2225,00:01:32.801,92.801,2255,00:01:34.052,94.052,30,00:00:01.251,1.251
17,2255,00:01:34.052,94.052,2342,00:01:37.681,97.681,87,00:00:03.629,3.629
18,2342,00:01:37.681,97.681,2423,00:01:41.059,101.059,81,00:00:03.378,3.378
19,2423,00:01:41.059,101.059,2476,00:01:43.270,103.270,53,00:00:02.211,2.211
20,2476,00:01:43.270,103.270,2730,00:01:53.864,113.864,254,00:00:10.594,10.594
21,2730,00:01:53.864,113.864,2773,00:01:55.657,115.657,43,00:00:01.793,1.793
22,2773,00:01:55.657,115.657,2860,00:01:59.286,119.286,87,00:00:03.629,3.629
23,2860,00:01:59.286,119.286,2928,00:02:02.122,122.122,68,00:00:02.836,2.836
24,2928,00:02:02.122,122.122,3065,00:02:07.836,127.836,137,00:00:05.714,5.714
25,3065,00:02:07.836,127.836,3133,00:02:10.672,130.672,68,00:00:02.836,2.836
26,3133,00:02:10.672,130.672,3236,00:02:14.968,134.968,103,00:00:04.296,4.296
27,3236,00:02:14.968,134.968,3318,00:02:18.388,138.388,82,00:00:03.420,3.420
28,3318,00:02:18.388,138.388,3390,00:02:21.391,141.391,72,00:00:03.003,3.003
29,3390,00:02:21.391,141.391,3418,00:02:22.559,142.559,28,00:00:01.168,1.168
30,3418,00:02:22.559,142.559,3459,00:02:24.269,144.269,41,00:00:01.710,1.710
31,3459,00:02:24.269,144.269,3549,00:02:28.023,148.023,90,00:00:03.754,3.754
32,3549,00:02:28.023,148.023,3597,00:02:30.025,150.025,48,00:00:02.002,2.002
33,3597,00:02:30.025,150.025,3667,00:02:32.944,152.944,70,00:00:02.920,2.920
34,3667,00:02:32.944,152.944,3689,00:02:33.862,153.862,22,00:00:00.918,0.918
35,3689,00:02:33.862,153.862,3703,00:02:34.446,154.446,14,00:00:00.584,0.584
36,3703,00:02:34.446,154.446,3857,00:02:40.869,160.869,154,00:00:06.423,6.423
37,3857,00:02:40.869,160.869,3874,00:02:41.578,161.578,17,00:00:00.709,0.709
38,3874,00:02:41.578,161.578,3935,00:02:44.122,164.122,61,00:00:02.544,2.544
39,3935,00:02:44.122,164.122,3968,00:02:45.499,165.499,33,00:00:01.376,1.376
40,3968,00:02:45.499,165.499,4003,00:02:46.958,166.958,35,00:00:01.460,1.460
41,4003,00:02:46.958,166.958,4040,00:02:48.502,168.502,37,00:00:01.543,1.543
42,4040,00:02:48.502,168.502,4058,00:02:49.252,169.252,18,00:00:00.751,0.751
43,4058,00:02:49.252,169.252,4103,00:02:51.129,171.129,45,00:00:01.877,1.877
44,4103,00:02:51.129,171.129,4129,00:02:52.214,172.214,26,00:00:01.084,1.084
45,4129,00:02:52.214,172.214,4276,00:02:58.345,178.345,147,00:00:06.131,6.131
46,4276,00:02:58.345,178.345,4516,00:03:08.355,188.355,240,00:00:10.010,10.010
47,4516,00:03:08.355,188.355,4538,00:03:09.272,189.272,22,00:00:00.918,0.918
48,4538,00:03:09.272,189.272,4562,00:03:10.273,190.273,24,00:00:01.001,1.001
49,4562,00:03:10.273,190.273,4579,00:03:10.982,190.982,17,00:00:00.709,0.709
50,4579,00:03:10.982,190.982,4611,00:03:12.317,192.317,32,00:00:01.335,1.335
51,4611,00:03:12.317,192.317,4638,00:03:13.443,193.443,27,00:00:01.126,1.126
52,4638,00:03:13.443,193.443,4661,00:03:14.403,194.403,23,00:00:00.959,0.959
53,4661,00:03:14.403,194.403,4699,00:03:15.987,195.987,38,00:00:01.585,1.585
54,4699,00:03:15.987,195.987,4713,00:03:16.571,196.571,14,00:00:00.584,0.584
55,4713,00:03:16.571,196.571,4742,00:03:17.781,197.781,29,00:00:01.210,1.210
56,4742,00:03:17.781,197.781,4764,00:03:18.698,198.698,22,00:00:00.918,0.918
57,4764,00:03:18.698,198.698,4783,00:03:19.491,199.491,19,00:00:00.792,0.792
58,4783,00:03:19.491,199.491,4895,00:03:24.162,204.162,112,00:00:04.671,4.671
59,4895,00:03:24.162,204.162,4940,00:03:26.039,206.039,45,00:00:01.877,1.877
60,4940,00:03:26.039,206.039,5201,00:03:36.925,216.925,261,00:00:10.886,10.886
61,5201,00:03:36.925,216.925,5234,00:03:38.301,218.301,33,00:00:01.376,1.376
62,5234,00:03:38.301,218.301,5273,00:03:39.928,219.928,39,00:00:01.627,1.627
63,5273,00:03:39.928,219.928,5313,00:03:41.596,221.596,40,00:00:01.668,1.668
64,5313,00:03:41.596,221.596,5334,00:03:42.472,222.472,21,00:00:00.876,0.876
65,5334,00:03:42.472,222.472,5367,00:03:43.849,223.849,33,00:00:01.376,1.376
66,5367,00:03:43.849,223.849,5389,00:03:44.766,224.766,22,00:00:00.918,0.918
67,5389,00:03:44.766,224.766,5436,00:03:46.726,226.726,47,00:00:01.960,1.960
68,5436,00:03:46.726,226.726,5499,00:03:49.354,229.354,63,00:00:02.628,2.628
69,5499,00:03:49.354,229.354,5675,00:03:56.695,236.695,176,00:00:07.341,7.341
