Timecode List:,00:00:05.047,00:00:06.590,00:00:12.387,00:00:15.182,00:00:17.684,00:00:19.728,00:00:22.731,00:00:49.091,00:00:56.265,00:01:04.106,00:01:12.781,00:01:16.618,00:01:25.502,00:01:30.007,00:01:34.803,00:01:39.766,00:01:44.604,00:01:47.858,00:01:50.027,00:01:51.778,00:01:53.613,00:01:55.198,00:02:10.213,00:02:12.716,00:02:17.054,00:02:21.558,00:02:23.393,00:02:24.978,00:02:28.565,00:02:35.697,00:02:39.868,00:02:42.746,00:02:51.713,00:02:54.216,00:02:54.883,00:02:58.220,00:03:04.726,00:03:10.065,00:03:13.235,00:03:13.902,00:03:16.405,00:03:18.031,00:03:22.744,00:03:24.246,00:03:25.372,00:03:34.756,00:03:37.884,00:03:38.593,00:03:42.472,00:03:43.265,00:03:43.932
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,121,00:00:05.047,5.047,121,00:00:05.047,5.047
2,121,00:00:05.047,5.047,158,00:00:06.590,6.590,37,00:00:01.543,1.543
3,158,00:00:06.590,6.590,297,00:00:12.387,12.387,139,00:00:05.797,5.797
4,297,00:00:12.387,12.387,364,00:00:15.182,15.182,67,00:00:02.794,2.794
5,364,00:00:15.182,15.182,424,00:00:17.684,17.684,60,00:00:02.502,2.502
6,424,00:00:17.684,17.684,473,00:00:19.728,19.728,49,00:00:02.044,2.044
7,473,00:00:19.728,19.728,545,00:00:22.731,22.731,72,00:00:03.003,3.003
8,545,00:00:22.731,22.731,1177,00:00:49.091,49.091,632,00:00:26.360,26.360
9,1177,00:00:49.091,49.091,1349,00:00:56.265,56.265,172,00:00:07.174,7.174
10,1349,00:00:56.265,56.265,1537,00:01:04.106,64.106,188,00:00:07.841,7.841
11,1537,00:01:04.106,64.106,1745,00:01:12.781,72.781,208,00:00:08.675,8.675
12,1745,00:01:12.781,72.781,1837,00:01:16.618,76.618,92,00:00:03.837,3.837
13,1837,00:01:16.618,76.618,2050,00:01:25.502,85.502,213,00:00:08.884,8.884
14,2050,00:01:25.502,85.502,2158,00:01:30.007,90.007,108,00:00:04.504,4.504
15,2158,00:01:30.007,90.007,2273,00:01:34.803,94.803,115,00:00:04.796,4.796
16,2273,00:01:34.803,94.803,2392,00:01:39.766,99.766,119,00:00:04.963,4.963
17,2392,00:01:39.766,99.766,2508,00:01:44.604,104.604,116,00:00:04.838,4.838
18,2508,00:01:44.604,104.604,2586,00:01:47.858,107.858,78,00:00:03.253,3.253
19,2586,00:01:47.858,107.858,2638,00:01:50.027,110.027,52,00:00:02.169,2.169
20,2638,00:01:50.027,110.027,2680,00:01:51.778,111.778,42,00:00:01.752,1.752
21,2680,00:01:51.778,111.778,2724,00:01:53.613,113.613,44,00:00:01.835,1.835
22,2724,00:01:53.613,113.613,2762,00:01:55.198,115.198,38,00:00:01.585,1.585
23,2762,00:01:55.198,115.198,3122,00:02:10.213,130.213,360,00:00:15.015,15.015
24,3122,00:02:10.213,130.213,3182,00:02:12.716,132.716,60,00:00:02.502,2.502
25,3182,00:02:12.716,132.716,3286,00:02:17.054,137.054,104,00:00:04.338,4.338
26,3286,00:02:17.054,137.054,3394,00:02:21.558,141.558,108,00:00:04.504,4.504
27,3394,00:02:21.558,141.558,3438,00:02:23.393,143.393,44,00:00:01.835,1.835
28,3438,00:02:23.393,143.393,3476,00:02:24.978,144.978,38,00:00:01.585,1.585
29,3476,00:02:24.978,144.978,3562,00:02:28.565,148.565,86,00:00:03.587,3.587
30,3562,00:02:28.565,148.565,3733,00:02:35.697,155.697,171,00:00:07.132,7.132
31,3733,00:02:35.697,155.697,3833,00:02:39.868,159.868,100,00:00:04.171,4.171
32,3833,00:02:39.868,159.868,3902,00:02:42.746,162.746,69,00:00:02.878,2.878
33,3902,00:02:42.746,162.746,4117,00:02:51.713,171.713,215,00:00:08.967,8.967
34,4117,00:02:51.713,171.713,4177,00:02:54.216,174.216,60,00:00:02.502,2.502
35,4177,00:02:54.216,174.216,4193,00:02:54.883,174.883,16,00:00:00.667,0.667
36,4193,00:02:54.883,174.883,4273,00:02:58.220,178.220,80,00:00:03.337,3.337
37,4273,00:02:58.220,178.220,4429,00:03:04.726,184.726,156,00:00:06.506,6.506
38,4429,00:03:04.726,184.726,4557,00:03:10.065,190.065,128,00:00:05.339,5.339
39,4557,00:03:10.065,190.065,4633,00:03:13.235,193.235,76,00:00:03.170,3.170
40,4633,00:03:13.235,193.235,4649,00:03:13.902,193.902,16,00:00:00.667,0.667
41,4649,00:03:13.902,193.902,4709,00:03:16.405,196.405,60,00:00:02.502,2.502
42,4709,00:03:16.405,196.405,4748,00:03:18.031,198.031,39,00:00:01.627,1.627
43,4748,00:03:18.031,198.031,4861,00:03:22.744,202.744,113,00:00:04.713,4.713
44,4861,00:03:22.744,202.744,4897,00:03:24.246,204.246,36,00:00:01.501,1.501
45,4897,00:03:24.246,204.246,4924,00:03:25.372,205.372,27,00:00:01.126,1.126
46,4924,00:03:25.372,205.372,5149,00:03:34.756,214.756,225,00:00:09.384,9.384
47,5149,00:03:34.756,214.756,5224,00:03:37.884,217.884,75,00:00:03.128,3.128
